		
"normalized area, average for each treatment"		
		
 GeoID 	  Average Bare  	 Average Bare 
comp110578_c0_seq1	 0.001386 	 0.002533 
comp110578_c0_seq2	 0.001386 	 0.002533 
comp110675_c0_seq1	 0.004117 	 0.002554 
comp110675_c0_seq3	 0.004117 	 0.002554 
comp110675_c0_seq5	 0.004117 	 0.002554 
comp110681_c0_seq1	 0.000815 	 0.000666 
comp110810_c0_seq1	 0.022132 	 0.019692 
comp110861_c0_seq1	 0.001019 	 0.001184 
comp110984_c0_seq1	 0.537568 	 0.500530 
comp110988_c0_seq3	 0.002855 	 0.009382 
comp110994_c0_seq1	 0.004734 	 0.005365 
comp111019_c0_seq1	 0.003303 	 0.004770 
comp111143_c0_seq1	 0.069946 	 0.060966 
comp111208_c0_seq1	 0.007606 	 0.006585 
comp111242_c0_seq1	 0.002843 	 0.001739 
comp111242_c2_seq1	 0.002083 	 0.002610 
comp111246_c0_seq1	 0.002163 	 0.001873 
comp111254_c0_seq1	 0.001824 	 0.001462 
comp111254_c1_seq1	 0.026817 	 0.032974 
comp111297_c1_seq1	 0.102161 	 0.113230 
comp111492_c0_seq1	 0.006030 	 0.005605 
comp111552_c0_seq1	 0.013890 	 0.009769 
comp111552_c0_seq2	 0.003113 	 0.003805 
comp111635_c0_seq1	 0.014888 	 0.020544 
comp111695_c1_seq1	 0.004092 	 0.009333 
comp111704_c1_seq1	 0.000894 	 0.001667 
comp111784_c0_seq1	 0.065221 	 0.059645 
comp111784_c0_seq2	 0.019568 	 0.015376 
comp111825_c0_seq1	 0.015952 	 0.021277 
comp111827_c2_seq1	 0.027253 	 0.024791 
comp111848_c0_seq1	 0.029924 	 0.029393 
comp111848_c1_seq1	 0.031834 	 0.029735 
comp111886_c1_seq1	 0.063392 	 0.062913 
comp112007_c0_seq1	 0.003199 	 0.002859 
comp112088_c0_seq1	 0.003131 	 0.005435 
comp112088_c0_seq2	 0.003131 	 0.005435 
comp112088_c1_seq1	 0.010084 	 0.013384 
comp112104_c0_seq2	 0.163448 	 0.170954 
comp112119_c0_seq1	 0.076784 	 0.000943 
comp112227_c0_seq1	 0.001493 	 0.001741 
comp112227_c0_seq3	 0.001493 	 0.001741 
comp112295_c0_seq1	 0.015965 	 0.012914 
comp112295_c0_seq2	 0.015965 	 0.012914 
comp112328_c0_seq1	 0.012045 	 0.006046 
comp112334_c0_seq1	 0.005492 	 0.004695 
comp112334_c0_seq2	 0.006808 	 0.006712 
comp112472_c1_seq1	 0.014989 	 0.014134 
comp112515_c0_seq1	 0.012134 	 0.011607 
comp112532_c0_seq1	 0.023363 	 0.017926 
comp112532_c0_seq2	 0.023363 	 0.017926 
comp112669_c1_seq1	 0.002509 	 0.001921 
comp112755_c0_seq1	 0.003128 	 0.003761 
comp112891_c2_seq1	 0.036443 	 0.030344 
