"","bareCaseInlet","bareFidalgoBay","barePortGamble","bareSkokomishRiver","bareWillapaBay","eelgrassCaseInlet","eelgrassFidalgoBay","eelgrassPortGamble","eelgrassSkokomishRiver"
"cds.comp141065_c1_seq2|m.37006",0.001399449,0.060365413,0.021021135,0.016059335,0.001487682,0.017441475,0.00973813,0.009197305,0.015577693
"cds.comp141065_c1_seq3|m.37008",0.003062731,0.140887778,0.043925585,0.026113486,0.001531807,0.036637863,0.033545615,0.020087494,0.034987859
"cds.comp141065_c1_seq4|m.37009",0.001399449,0.060365413,0.021021135,0.016059335,0.001487682,0.017441475,0.00973813,0.009197305,0.015577693
"cds.comp141065_c1_seq5|m.37011",0.001399449,0.060365413,0.021021135,0.016059335,0.001487682,0.017441475,0.00973813,0.009197305,0.015577693
"cds.comp141065_c1_seq6|m.37013",0.001399449,0.060365413,0.021021135,0.016059335,0.001487682,0.017441475,0.00973813,0.009197305,0.015577693
"cds.comp141065_c1_seq7|m.37015",0.001399449,0.060365413,0.021021135,0.016059335,0.001487682,0.017441475,0.00973813,0.009197305,0.015577693
"cds.comp141065_c1_seq8|m.37017",0.003062731,0.140887778,0.043925585,0.026113486,0.001531807,0.036637863,0.033545615,0.020087494,0.034987859
"cds.comp141065_c1_seq9|m.37019",0.003062731,0.140887778,0.043925585,0.026113486,0.001531807,0.036637863,0.033545615,0.020087494,0.034987859
"cds.comp141072_c0_seq1|m.37026",0.004842743,1.0327e-05,0.000332954,0.003639718,0.00384185,0.001331243,0.000713696,0.001027828,0.002104735
"cds.comp141072_c0_seq2|m.37028",0.004842743,1.0327e-05,0.000332954,0.003639718,0.00384185,0.001331243,0.000713696,0.001027828,0.002104735
"cds.comp141072_c0_seq3|m.37030",0.004842743,1.0327e-05,0.000332954,0.003639718,0.00384185,0.001331243,0.000713696,0.001027828,0.002104735
"cds.comp141072_c0_seq4|m.37033",0.004842743,1.0327e-05,0.000332954,0.003639718,0.00384185,0.001331243,0.000713696,0.001027828,0.002104735
"cds.comp141072_c0_seq5|m.37035",0.004842743,1.0327e-05,0.000332954,0.003639718,0.00384185,0.001331243,0.000713696,0.001027828,0.002104735
"cds.comp141072_c0_seq7|m.37039",0.004842743,1.0327e-05,0.000332954,0.003639718,0.00384185,0.001331243,0.000713696,0.001027828,0.002104735
"cds.comp141074_c1_seq1|m.37044",0.004158309,0.005190961,0.009271916,0.012632445,0.005170948,0.00732829,0.005195712,0.003167561,0.00640454
"cds.comp141074_c1_seq2|m.37045",0.004158309,0.005190961,0.009271916,0.012632445,0.005170948,0.00732829,0.005195712,0.003167561,0.00640454
"cds.comp141089_c0_seq1|m.37079",0.000151185,1.6583e-05,0.00052384,0.00161363,0.000106893,0.000408749,0.001161829,0.000225399,0.004644436
"cds.comp141089_c0_seq2|m.37080",0.000151185,1.6583e-05,0.00052384,0.00161363,0.000106893,0.000408749,0.001161829,0.000225399,0.004644436
"cds.comp141093_c0_seq1|m.37084",0.024678763,0.006510679,0.01405464,0.017107134,0.015718714,0.019307793,0.013447563,0.021515164,0.011981676
"cds.comp141093_c0_seq2|m.37085",0.024678763,0.006510679,0.01405464,0.017107134,0.015718714,0.019307793,0.013447563,0.021515164,0.011981676
"cds.comp141093_c0_seq3|m.37086",0.019083126,0.004096565,0.035114804,0.014573802,0.02926846,0.013497117,0.020083023,0.017735151,0.025008523
"cds.comp141096_c4_seq1|m.37087",0.686091346,0.786051698,0.67434257,1.097726346,0.455444817,0.824323918,0.805696411,0.705419822,0.882177686
"cds.comp141098_c0_seq1|m.37089",0.05894532,0.165551471,0.145957027,0.071887058,0.045329612,0.072123777,0.1566846,0.119030928,0.063336241
"cds.comp141098_c0_seq2|m.37091",0.05894532,0.165551471,0.145957027,0.071887058,0.045329612,0.072123777,0.1566846,0.119030928,0.063336241
"cds.comp141098_c0_seq3|m.37093",0.067269377,0.175302195,0.164791821,0.078546779,0.048588603,0.083636481,0.172291403,0.127884739,0.075216092
"cds.comp141098_c0_seq4|m.37095",0.067269377,0.175302195,0.164791821,0.078546779,0.048588603,0.083636481,0.172291403,0.127884739,0.075216092
"cds.comp141099_c0_seq1|m.37097",0.017361048,0.014718423,0.025676523,0.017597967,0.01603673,0.027849898,0.019939866,0.025530868,0.023473576
"cds.comp141099_c0_seq2|m.37098",0.053819617,0.079734564,0.072432499,0.064139895,0.057361045,0.071062872,0.059410303,0.081949796,0.083145644
"cds.comp141100_c0_seq1|m.37099",0.001140821,0.000443718,0.000948386,0.008084532,0.000783729,0.004226034,0.007359177,0.006489097,0.012338691
"cds.comp141100_c0_seq3|m.37102",0.001140821,0.000443718,0.000948386,0.008084532,0.000783729,0.004226034,0.007359177,0.006489097,0.012338691
"cds.comp141100_c0_seq4|m.37104",0.006070911,0.004311026,0.009291054,0.007651418,0.005012242,0.007697642,0.008504499,0.006029326,0.016500883
"cds.comp141100_c0_seq7|m.37108",0.006070911,0.004311026,0.009291054,0.007651418,0.005012242,0.007697642,0.008504499,0.006029326,0.016500883
"cds.comp141100_c0_seq8|m.37110",0.006070911,0.004311026,0.009291054,0.007651418,0.005012242,0.007697642,0.008504499,0.006029326,0.016500883
"cds.comp141100_c0_seq9|m.37112",0.000479703,0.000262419,8.353e-06,0.006380012,5.106e-05,0.003209969,0.003969262,0.005318399,0.010462081
"cds.comp141101_c2_seq1|m.37113",0.714822821,0.95936301,0.80518432,0.714561724,0.620585206,0.752352232,0.749315758,0.675135964,0.674486529
"cds.comp141101_c2_seq2|m.37115",0.411431087,0.703502112,0.507908101,0.375406394,0.379963172,0.420713529,0.510367677,0.419285219,0.369882135
"cds.comp141101_c2_seq3|m.37118",0.056647312,0.125599735,0.084172606,0.06174325,0.053032518,0.084805634,0.084185253,0.065974742,0.067803677
"cds.comp141103_c2_seq2|m.37120",0.028084427,0.0188276,0.025417157,0.027367256,0.025660348,0.019626239,0.017770256,0.030414241,0.017296842
"cds.comp141104_c1_seq2|m.37122",0.000556063,0.000800663,0.002055713,2.9283e-05,1.0289e-05,0.000162431,7.403e-06,0,0.003230594
"cds.comp141104_c1_seq3|m.37123",0.034775856,0.060896567,0.033680629,0.050358435,0.029904562,0.043142603,0.036164697,0.050064843,0.039579719
"cds.comp141104_c1_seq4|m.37125",0.035331919,0.06169723,0.035736342,0.050387718,0.029914851,0.043305034,0.0361721,0.050064843,0.042810313
"cds.comp141104_c1_seq5|m.37127",0.035331919,0.06169723,0.035736342,0.050387718,0.029914851,0.043305034,0.0361721,0.050064843,0.042810313
"cds.comp141104_c1_seq6|m.37129",0.000556063,0.000800663,0.002055713,2.9283e-05,1.0289e-05,0.000162431,7.403e-06,0,0.003230594
"cds.comp141104_c1_seq9|m.37130",0.034775856,0.060896567,0.033680629,0.050358435,0.029904562,0.043142603,0.036164697,0.050064843,0.039579719
"cds.comp141109_c0_seq1|m.37135",0.004295425,0.005100655,0.004153266,0.00665866,0.004596626,0.005205458,0.005892785,0.006037518,0.00510225
"cds.comp141109_c0_seq3|m.37137",0.002135285,0.004134665,0.001201398,0.004382252,0.002922386,0.002605659,0.003950728,0.00307342,0.003458387
"cds.comp141109_c0_seq4|m.37138",0.004295425,0.005100655,0.004153266,0.00665866,0.004596626,0.005205458,0.005892785,0.006037518,0.00510225
