Labels		 B/E Case Inlet 	 B/E Fidalgo Bay 	 B/E Port Gamble 	 B/E Skokomish 	 E/B Case Inlet 	 E/B Fidalgo Bay 	 E/B Port Gamble 	 E/B Skokomish 		 # Bare Sites 	 # Eelgrass Sites 
comp134820_c0_seq2	m.23343					 8.58 	 6.60 	 10.17 	 22.50 		1	4
comp135066_c1_seq1	m.23763					 15.23 		 5.40 	 58.82 		1	3
comp135066_c1_seq2	m.23765					 15.23 		 5.40 	 58.82 		1	3
comp135226_c0_seq1	m.24060					 2.34 		 3.09 	 4.73 		1	3
comp135226_c0_seq2	m.24061					 2.34 		 3.09 	 4.73 		1	3
comp135226_c0_seq3	m.24062					 2.34 		 3.09 	 4.73 		1	3
comp135302_c0_seq1	m.24166					 10.23 	 2.92 		 2.57 		1	3
comp135317_c0_seq1	m.24181					 9.67 		 242.37 	 4.15 		1	3
comp135656_c7_seq3	m.24932		 2.97 			 32.33 		 2.27 	 7.98 		2	3
comp135942_c2_seq1	m.25500		 2.48 			 7.15 		 177.12 	 9.39 		2	3
comp135942_c2_seq3	m.25502		 2.48 			 7.15 		 177.12 	 9.39 		2	3
comp135942_c2_seq7	m.25503		 2.48 			 7.15 		 177.12 	 9.39 		2	3
comp136023_c1_seq2	m.25651				 3.27 	 3.54 	 608.62 	 136.23 			2	3
comp136628_c0_seq3	m.26637	 36.21 					 3.72 	 672.09 	 5.31 		0	3
comp136628_c0_seq6	m.26639	 36.21 					 3.72 	 672.09 	 5.31 		0	3
comp137009_c0_seq1	m.27285					 35.22 	 7.24 	 29.15 	 11.17 		1	4
comp137141_c0_seq2	m.27522					 15.01 	 2.28 		 5.15 		1	3
comp137287_c0_seq1	m.27801					 136.55 	 96.42 		 3.72 		1	3
comp138601_c0_seq2	m.30467			 4.09 		 2.30 	 45.37 		 6.37 		2	3
comp138601_c0_seq4	m.30469			 5.19 		 12.44 	 42.97 		 2.61 		2	3
comp138654_c0_seq3	m.30576						 6.21 	 2.24 	 17.57 		0	3
comp138807_c3_seq3	m.31009						 6.21 	 2.24 	 17.57 		0	3
comp138807_c3_seq4	m.31010					 2.04 	 5.05 	 47.93 	 77.63 		1	4
comp138807_c3_seq6	m.31011						 6.21 	 2.24 	 17.57 		0	3
comp138943_c0_seq1	m.31308					 4.32 	 2.43 		 8.53 		1	3
comp138943_c0_seq2	m.31309					 4.32 	 2.43 		 8.53 		1	3
comp139008_c2_seq1	m.31417				 2.48 	 20.98 	 2.54 	 6.78 			2	3
comp139068_c0_seq1	m.31571		 3.76 			 2.66 		 14.46 	 98.42 		2	3
comp139287_c2_seq1	m.32055					 35.20 		 2.57 	 8.04 		1	3
comp139505_c0_seq1	m.32487		 3.83 			 58.34 		 25.88 	 26.18 		2	3
comp139505_c0_seq2	m.32489		 3.83 			 58.34 		 25.88 	 26.18 		2	3
comp139594_c0_seq1	m.32711						 4.84 	 33.55 	 3.82 		0	3
comp139594_c0_seq2	m.32712						 4.84 	 33.55 	 3.82 		0	3
comp139594_c0_seq3	m.32713						 4.84 	 33.55 	 3.82 		0	3
comp139635_c0_seq1	m.32749					 4.21 	 2.39 	 18.17 	 2.51 		1	4
comp139635_c0_seq13	m.32764					 4.21 	 2.39 	 18.17 	 2.51 		1	4
comp139635_c0_seq14	m.32766					 4.21 	 2.39 	 18.17 	 2.51 		1	4
comp139635_c0_seq16	m.32768					 4.21 	 2.39 	 18.17 	 2.51 		1	4
comp139635_c0_seq19	m.32770					 4.21 	 2.39 	 18.17 	 2.51 		1	4
comp139635_c0_seq2	m.32751					 4.21 	 2.39 	 18.17 	 2.51 		1	4
comp139635_c0_seq3	m.32752					 4.21 	 2.39 	 18.17 	 2.51 		1	4
comp139635_c0_seq5	m.32755					 4.21 	 2.39 	 18.17 	 2.51 		1	4
comp139635_c0_seq7	m.32758					 4.21 	 2.39 	 18.17 	 2.51 		1	4
comp139895_c0_seq6	m.33322	 5.48 					 6.03 	 2.68 	 2.23 		0	3
comp140059_c0_seq1	m.33864					 12.38 	 9.43 		 2.32 		1	3
comp140337_c2_seq1	m.34668	 2.66 					 10.35 	 6.30 	 8.18 		0	3
comp140435_c0_seq1	m.34845					 12.38 	 9.43 		 2.32 		1	3
comp140596_c2_seq1	m.35420					 47.97 	 2.09 	 10.55 	 314.21 		1	4
comp140597_c0_seq5	m.35425			 2.89 		 2.01 	 22.23 		 42.15 		2	3
comp140765_c1_seq1	m.35842					 2.27 	 7.69 		 2.43 		1	3
comp141236_c1_seq2	m.37646					 2.71 	 3.12 		 4.69 		1	3
comp141270_c1_seq5	m.37779						 14.03 	 4.33 	 8.72 		0	3
comp141270_c1_seq7	m.37780						 14.03 	 4.33 	 8.72 		0	3
comp141481_c0_seq2	m.38450					 2.06 	 3.73 		 5.18 		1	3
comp141950_c0_seq1	m.40235	 3.97 					 35.42 	 2.56 	 4.17 		0	3
comp142151_c1_seq1	m.40923	 8.23 					 2.31 	 2.44 	 3.26 		0	3
comp142151_c1_seq2	m.40925	 8.23 					 2.31 	 2.44 	 3.26 		0	3
comp142151_c1_seq3	m.40927	 8.23 					 2.31 	 2.44 	 3.26 		0	3
comp142151_c1_seq4	m.40929	 8.23 					 2.31 	 2.44 	 3.26 		0	3
comp142151_c1_seq6	m.40931	 8.23 					 2.31 	 2.44 	 3.26 		0	3
comp142151_c1_seq8	m.40933	 8.23 					 2.31 	 2.44 	 3.26 		0	3
comp142423_c1_seq1	m.41909					 2.22 	 5.03 		 25.82 		1	3
comp142423_c1_seq10	m.41926					 2.22 	 5.03 		 25.82 		1	3
comp142423_c1_seq13	m.41929					 2.22 	 5.03 		 25.82 		1	3
comp142423_c1_seq14	m.41930					 2.22 	 5.03 		 25.82 		1	3
comp142423_c1_seq15	m.41932					 2.22 	 5.03 		 25.82 		1	3
comp142423_c1_seq16	m.41933					 2.22 	 5.03 		 25.82 		1	3
comp142423_c1_seq17	m.41935					 2.22 	 5.03 		 25.82 		1	3
comp142423_c1_seq19	m.41938					 2.22 	 5.03 		 25.82 		1	3
comp142423_c1_seq21	m.41940					 2.22 	 5.03 		 25.82 		1	3
comp142423_c1_seq22	m.41942					 2.22 	 5.03 		 25.82 		1	3
comp142423_c1_seq23	m.41943					 2.22 	 5.03 		 25.82 		1	3
comp142423_c1_seq24	m.41944					 2.22 	 5.03 		 25.82 		1	3
comp142423_c1_seq3	m.41911					 2.22 	 5.03 		 25.82 		1	3
comp142423_c1_seq5	m.41915					 2.22 	 5.03 		 25.82 		1	3
comp142423_c1_seq6	m.41917					 2.22 	 5.03 		 25.82 		1	3
comp142423_c1_seq7	m.41919					 2.22 	 5.03 		 25.82 		1	3
comp142423_c1_seq8	m.41920					 2.22 	 5.03 		 25.82 		1	3
comp142423_c1_seq9	m.41923					 2.22 	 5.03 		 25.82 		1	3
comp142838_c3_seq1	m.43610					 2.71 	 2.04 		 15.66 		1	3
comp142841_c2_seq6	m.43614					 3.15 	 2.57 	 5.99 			1	3
comp142841_c2_seq7	m.43615					 3.15 	 2.57 	 5.99 			1	3
comp143018_c3_seq2	m.44266					 57.71 	 2.07 	 3.54 	 2.79 		1	4
comp143108_c0_seq1	m.44572		 3.11 			 2.29 		 4.56 	 285.08 		2	3
comp143360_c0_seq1	m.45656					 35.22 	 7.24 	 29.15 	 11.17 		1	4
comp143418_c0_seq1	m.45854						 2.42 	 4.41 	 4.28 		0	3
comp143418_c0_seq2	m.45855						 2.42 	 4.41 	 4.28 		0	3
comp143418_c0_seq3	m.45856						 2.42 	 4.41 	 4.28 		0	3
comp143418_c0_seq4	m.45857						 2.42 	 4.41 	 4.28 		0	3
comp143433_c1_seq8	m.45915				 3.27 	 3.54 	 608.62 	 136.23 			2	3
comp143767_c0_seq4	m.47435		 12.81 			 2.37 		 2.53 	 3.23 		2	3
comp143767_c0_seq5	m.47437		 12.81 			 2.37 		 2.53 	 3.23 		2	3
comp143767_c0_seq8	m.47439		 12.81 			 2.37 		 2.53 	 3.23 		2	3
comp143936_c0_seq10	m.48626						 6.21 	 2.24 	 17.57 		0	3
comp144025_c0_seq1	m.49227					 2.51 		 5.27 	 3.49 		1	3
comp144025_c0_seq2	m.49228					 2.51 		 5.27 	 3.49 		1	3
comp144125_c0_seq5	m.49869		 10.16 			 14.62 		 378.65 	 2.08 		2	3
comp144125_c0_seq6	m.49871		 10.16 			 14.62 		 378.65 	 2.08 		2	3
comp144210_c0_seq4	m.50307					 2.25 	 67.00 		 2.62 		1	3
comp144254_c0_seq1	m.50498			 4.39 		 4.93 	 3.51 		 4.23 		2	3
comp144254_c0_seq6	m.50506			 4.39 		 4.93 	 3.51 		 4.23 		2	3
comp144388_c0_seq4	m.51417						 8.67 	 3.75 	 2.16 		0	3
comp144529_c0_seq2	m.52432					 26.30 	 3.82 	 3.83 	 10.46 		1	4
comp144529_c0_seq5	m.52439					 26.30 	 3.82 	 3.83 	 10.46 		1	4
comp144560_c0_seq1	m.52869	 5.53 					 2.17 	 27.24 	 8.08 		0	3
comp146474_c0_seq1	m.53869					 3.05 		 2.10 	 3.60 		1	3
comp147487_c0_seq1	m.54003		 521.08 			 12.56 		 3.09 	 10.21 		2	3
comp25254_c0_seq1	m.623				 3.92 	 9.42 	 63.49 	 21.06 			2	3
comp28457_c0_seq1	m.903				 39.19 	 2.45 	 2.53 	 5.68 			2	3
comp29200_c0_seq1	m.980					 60.22 	 2.35 	 6.31 			1	3
comp36913_c0_seq1	m.1340		 5.67 			 304.60 		 2.27 	 2.76 		2	3
comp50630_c0_seq1	m.1968	 2.14 					 214.16 	 4.98 	 8.21 		0	3
comp61778_c0_seq1	m.2461				 7.50 	 5.45 	 10.49 	 6.35 			2	3
comp66153_c0_seq1	m.2743			 2.43 		 178.53 	 2.89 		 15.74 		2	3
comp69840_c1_seq1	m.2991				 4.02 	 3.13 	 5.30 	 2.68 			2	3
comp73995_c0_seq1	m.3267					 3.71 	 5.13 	 16.28 	 5.34 		1	4
comp74781_c1_seq2	m.3325			 2.48 		 22.77 	 2.15 		 13.85 		2	3
comp83328_c0_seq1	m.3916					 2.21 		 13.95 	 2.12 		1	3
comp83926_c0_seq1	m.3958	" 4,534.69 "					 40.80 	 201.19 	 373.26 		0	3
comp85544_c0_seq1	m.4100	 790.20 					#DIV/0!	 503.79 	 2.47 		0	3
comp89127_c1_seq1	m.4401	 2.43 					 2.57 	 4.14 	 5.63 		0	3
comp92435_c0_seq1	m.4904					 2.94 	 4.72 	 2.11 			1	3
comp116156_c0_seq1	m.9779					 3.86 	 2.23 	" 2,627.22 "			0	3
comp116890_c1_seq1	m.10045	 4.39 					 6.83 	 2.20 	 2.27 		1	3
comp120120_c0_seq1	m.11348						 6.21 	 2.24 	 17.57 		0	3
comp123102_c2_seq3	m.12740				 3.27 	 3.54 	 608.62 	 136.23 			1	3
comp123534_c0_seq2	m.12990					 2.83 	 3.72 	 4.20 			0	3
comp123981_c1_seq1	m.13226					 10.34 	 27.41 		 31.86 		0	3
comp124080_c0_seq2	m.13302						 6.21 	 2.24 	 17.57 		0	3
comp126124_c0_seq1	m.14581			 2.11 		 33.06 	" 1,823.17 "		 2.42 		1	3
comp127566_c0_seq1	m.15637					 2.04 	 5.05 	 47.93 	 77.63 		0	4
comp127899_c0_seq3	m.15893					 3.03 	 129.35 	 2.64 			0	3
comp128855_c0_seq2	m.16731					 3.71 	 16.45 	 4.94 	 3.21 		0	4
comp129748_c1_seq2	m.17519		 77.03 			 2.28 		 38.93 	 79.52 		1	3
comp130854_c0_seq1	m.18575				 3.27 	 3.54 	 608.62 	 136.23 			1	3
comp131458_c0_seq1	m.19217					 3.16 	" 2,425.00 "		 2.52 		0	3
comp131484_c0_seq1	m.19243						 2.90 	 61.17 	 38.17 		0	3
comp131848_c1_seq1	m.19655					 42.09 	 2.56 	 25.89 	 5.33 		0	4
comp132308_c0_seq4	m.20141			 2.14 		 2.16 	 5.86 		 2.56 		1	3
comp132587_c0_seq3	m.20467	 3.02 					 5.59 	 2.38 	 2.08 		1	3
comp133508_c0_seq1	m.21610					 9.15 		 7.45 	 5.82 		0	3
comp133724_c0_seq2	m.21852	 5.48 					 6.03 	 2.68 	 2.23 		1	3
comp133735_c0_seq1	m.21898					 6.07 	 15.15 		 2.92 		0	3
comp133965_c1_seq4	m.22202	 4.39 					 6.83 	 2.20 	 2.27 		1	3
comp134418_c0_seq1	m.22812		 5.25 			 15.56 		 2.02 	 6.08 		1	3
comp134820_c0_seq2	m.23343					 8.58 	 6.60 	 10.17 	 22.50 		0	4
comp135066_c1_seq1	m.23763					 15.23 		 5.40 	 58.82 		0	3
comp135066_c1_seq2	m.23765					 15.23 		 5.40 	 58.82 		0	3
comp135226_c0_seq1	m.24060					 2.34 		 3.09 	 4.73 		0	3
