Protein	Average %TIC Eelgrass	Average %TIC Bare	 Average Fold Change E/B 	Average Fold Change B/E	Protein - name edited for Galaxy
cds.comp141695_c0_seq5|m.39265	2.08288%	24.97709%	 0.0834 	 11.99 	comp141695_c0_seq5
cds.comp136348_c0_seq1|m.26165	0.28157%	3.43100%	 0.0821 	 12.19 	comp136348_c0_seq1
cds.comp143525_c2_seq4|m.46375	0.25221%	3.36101%	 0.0750 	 13.33 	comp143525_c2_seq4
cds.comp143525_c2_seq6|m.46376	0.25221%	3.36101%	 0.0750 	 13.33 	comp143525_c2_seq6
cds.comp147609_c0_seq1|m.54019	0.04096%	0.57900%	 0.0707 	 14.14 	comp147609_c0_seq1
cds.comp127116_c0_seq2|m.15243	0.11767%	1.69168%	 0.0696 	 14.38 	comp127116_c0_seq2
cds.comp108798_c1_seq1|m.7589	0.00074%	0.01135%	 0.0656 	 15.24 	comp108798_c1_seq1
cds.comp135508_c0_seq1|m.24479	0.02936%	0.45038%	 0.0652 	 15.34 	comp135508_c0_seq1
cds.comp143766_c0_seq1|m.47424	2.24052%	35.67980%	 0.0628 	 15.92 	comp143766_c0_seq1
cds.comp143766_c0_seq2|m.47428	2.24052%	35.67980%	 0.0628 	 15.92 	comp143766_c0_seq2
cds.comp130529_c0_seq1|m.18271	0.20456%	3.66203%	 0.0559 	 17.90 	comp130529_c0_seq1
cds.comp87140_c0_seq1|m.4217	0.01382%	0.26427%	 0.0523 	 19.13 	comp87140_c0_seq1
cds.comp136390_c0_seq2|m.26226	5.63245%	120.59019%	 0.0467 	 21.41 	comp136390_c0_seq2
cds.comp135380_c0_seq1|m.24249	0.05607%	1.21467%	 0.0462 	 21.66 	comp135380_c0_seq1
cds.comp135380_c0_seq10|m.24261	0.05607%	1.21467%	 0.0462 	 21.66 	comp135380_c0_seq10
cds.comp141497_c1_seq1|m.38478	0.87754%	19.90790%	 0.0441 	 22.69 	comp141497_c1_seq1
cds.comp141497_c1_seq2|m.38479	0.87754%	19.90790%	 0.0441 	 22.69 	comp141497_c1_seq2
cds.comp141497_c1_seq3|m.38480	0.87754%	19.90790%	 0.0441 	 22.69 	comp141497_c1_seq3
cds.comp114039_c1_seq2|m.9038	0.20361%	4.63788%	 0.0439 	 22.78 	comp114039_c1_seq2
cds.comp143428_c1_seq1|m.45877	1.21619%	29.59135%	 0.0411 	 24.33 	comp143428_c1_seq1
cds.comp140460_c0_seq1|m.34894	0.12552%	3.52188%	 0.0356 	 28.06 	comp140460_c0_seq1
cds.comp140460_c0_seq2|m.34897	0.12552%	3.52188%	 0.0356 	 28.06 	comp140460_c0_seq2
cds.comp136348_c0_seq3|m.26170	0.10934%	3.25518%	 0.0336 	 29.77 	comp136348_c0_seq3
cds.comp135256_c0_seq1|m.24098	0.05620%	1.70630%	 0.0329 	 30.36 	comp135256_c0_seq1
cds.comp75397_c0_seq1|m.3371	0.00150%	0.06845%	 0.0219 	 45.70 	comp75397_c0_seq1
cds.comp23382_c0_seq1|m.500	0.00232%	0.12631%	 0.0183 	 54.55 	comp23382_c0_seq1
cds.comp143015_c1_seq1|m.44257	0.02811%	1.86073%	 0.0151 	 66.20 	comp143015_c1_seq1
cds.comp138368_c0_seq1|m.29994	0.03341%	2.50092%	 0.0134 	 74.86 	comp138368_c0_seq1
cds.comp139728_c0_seq1|m.32997	0.00503%	0.58336%	 0.0086 	 115.99 	comp139728_c0_seq1
cds.comp139728_c0_seq2|m.32998	0.00503%	0.58336%	 0.0086 	 115.99 	comp139728_c0_seq2
cds.comp139728_c0_seq3|m.33001	0.00503%	0.58336%	 0.0086 	 115.99 	comp139728_c0_seq3
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
